Airline Name,Overall_Rating,Review_Title,Review,Type Of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,departure,destination,in_usa,destination_country,destination_in_USA,flight_type
Aer Lingus,1,"""we are left to our own devices""","Welcome to post covid travel! I can accept many things, especially because of covid. Airline flights cancelled, lack of full staff, the list goes on. So, for this summer expect a whole lot of cancelled flights. So lets look at what a cancelled flight looks like in this post covid era. First off you'll get a message that your flight is delayed. Ok, so we'll just hang out in the club lounge a little longer, have a bite to eat, a beverage and just relax. Maybe an hour later check on how the flight is going and oh my! The gate looks like a scene at a border crossing: Its humid, its hot, there are people laying on the ground, babies are crying. Real hell on earth...well back to club for me! Then 3 hours after our plane should have left they announce flight cancelled. I go the gate and again see a scene of human misery, that's passengers I'm talking about, not Aer Lingus employees, they've booked it for the exits and gone home (probably high-fiving each other with, 'great job today!'). So we are left to our own devices and somehow all wonder to check-in like zombies out of a horror film (and the babies are still crying). An hour passes (it's now 10pm and we have been at the airport since 3pm) and word filters down that our luggage is in baggage claim. Off we all go to pick up our luggage (picture zombies trudging with a suitcase (and I wonder how those zombies with babies picked up their luggage?) Again we are at check-in with no Aer Lingus staff. Finally at 11pm someone who is not Aer Lingus starts to sort through this misery and give us direction, hotel, call this number, etc. And now for the zinger, not once, not at any time did any Aer Lingus staff show any humanity for the 3 or 6 month old babies that were crying. I saw one mother patiently comforting her baby in stoic solitude, showing her character and instilling in her baby what true character is. This is what I saw and learned that night and what I saw from Aer Lingus? Not a damn thing!",Couple Leisure,Business Class,5/1/2023,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,San Francisco,Dublin,TRUE,Ireland,FALSE,International
Aer Lingus,3,"""shoddy customer service""","The security is amazing so quick it's almost worth the way you are treated on the flight, almost. Going from Dublin to LA we had a engine fault. Totally get it - it could happen to any good airline. We were trapped on the flight for one and a half hours before air conditioning could be turned on. Then we were freezing. After a two hour delay we were off. This was my first long haul with Aer Lingus post covid - a lot has changed. The bar came round once! What you are not told is there is no complementary wine with your meal just a tiny tiny cup of water. Luckily for me I ordered two drinks to see me through to past dinner. Food was OK - as soon as dinner was served the cabin staff disappeared and I mean disappeared! I found them all about 5 hours later literally hiding in the galley. I asked if I could purchase a bottle of water ( gone are the heady days when someone quietly came round the cabin asking if anyone required water on an 11 hour flight) no we have no bottles I was told. Some one took pity on me and gave me one from business class. As a walked back to my seat clutching my bottle other travellers gasped with cracked lips ""where did you get that"" that was going to LA on way back exactly the same issues only I told the line to buy water before boarding. We landed in Dublin to something described as a breakfast burrito (it was hell on earth) and to add insult to injury we were not even offered a coffee! Shame on you Aer Lingus, shoddy shoddy customer service - in case anyone is wondering it was a £750 ticket. This is definitely what I would call a no frills air line. Funnily enough I was offered a coffee to purchase from Dublin to Edinburgh. Too little too late absolutely shameful.",Solo Leisure,Economy Class,5/1/2023,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,Satisfied,Dissatisfied,Los Angeles,Dublin,TRUE,Ireland,FALSE,International
Aer Lingus,3,"""ground crew was rude beyond imagination""","They have gone downhill since Covid. I used to be happy with Aer Lingus pre Covid. But now this airline is a complete waste of money and time. The plane was dirty. The tables have not been cleaned, butter and coke was sticking on it. There was no pocket on the seat. But the biggest failure were the staff at Dublin airport. The ground crew was rude beyond imagination.  The woman at the gate yelled at me and others, ripped my boarding pass out of my hand and was really disrespectful. That was not what I was paying for. The other staff were fairly disinterested in service of any kind. Felt like they have a miserable job so anyone else should have to suffer. This was the last time for me traveling with Aer Lingus. There is no value traveling Aer Lingus anymore and I strongly recommend choosing a proper airline. Sorry Aer Lingus, but it is in your hands.",Family Leisure,Economy Class,5/1/2023,Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Dissatisfied,New York,Frankfurt,TRUE,Germany,FALSE,International
Aer Lingus,1,"""the online booking is a joke""","I am flying in May, but after dealing with the airline I have great doubts about it. First off the online booking is a joke because they do not update their fares so by the time (5 minutes) you try to pay...you are unable to. Then you try to do it via the phone and all you get are non native English speaking ""service reps"", who can not understand you and you can't understand them (FYI I flew as a second office on a regional so I know my diction is good). I am fully expecting the same on the flight.",Solo Leisure,Economy Class,4/1/2023,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Hartford,Dublin,TRUE,Ireland,FALSE,International
Aer Lingus,6,"""FAs were helpful but firm""","Nothing to write home about. Seats were a bit cramped, food tasted bland, no free alcoholic beverages on my flight (which I had previously assumed was standard on trans Atlantic flights but maybe I am mistaken). FAs were helpful but firm, IFE options left some to be desired. We got these tickets for ~$400 less than the closest competitor however, so I suppose we definitely got what we paid for. Dublin airport transfer was painless and second leg (Dublin to Paris) was a short breeze.",Couple Leisure,Economy Class,9/1/2022,Very Dissatisfied,Neutral,Very Dissatisfied,Neutral,Neutral,Dissatisfied,Los Angeles,Paris,TRUE,France,FALSE,International
Aer Lingus,4,"""notorious for losing people’s luggage""","Aer Lingus have lost my luggage, not once, not twice, but 3 times! All 3 times I have flown on them from Washington DC to Glasgow, they have lost my luggage while transiting Dublin. I arrived in Glasgow on Wednesday morning, and I still haven’t received my luggage today, 4 days later. I leave the UK on Thursday 1/12. Just ridiculous, when I call the number for missing bags, I got through to a woman who was completely unhelpful and vague as ever. She told that my bags were out for delivery and have been out for delivery for 24 hours now, and they still haven’t arrived. Aer Lingus are notorious for losing people’s luggage",Solo Leisure,Economy Class,1/1/2023,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Dissatisfied,Washington,Glasgow,TRUE,United Kingdom,FALSE,International
Aer Lingus,2,"""Wouldn't fly them again""","My experience with Aer Lingus was not very good. The airline was a step above a budget airline. Here's what was average the seats, the onboard service, and the entertainment options. The airline meals were tiny and hardly filled you up. The wifi did not work on any of our flights. However, it was upon arriving in Dublin that our problems began. We had a three hour delay due to ""weather"" despite the fact that the sun was shining and there was almost zero snow or ice on the ground. It took hours for them to de-ice the plane which is the airlines responsibility. The ground crew never told any of the passengers what was happening or how long we could expect to be delayed. The zero communication was very frustrating. The short flight to London had no complementary beverages of any sort despite the long delay. On our return flight to the U.S., in the Gatwick airport there was a single gate agent checking in 80+ passengers. We stood in line for almost an hour. Why Aer Lingus? We almost missed our flight despite arriving to the airport two hours early. The airline's apps and online website never worked and we were unable to check in before we arrived to the airport which meant we were confined to the very last row on the plane. Wouldn't fly them again unless it was super super cheap or there were no other options.",Solo Leisure,Economy Class,12/1/2022,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Washington,London,TRUE,United Kingdom,FALSE,International
Aer Lingus,1,"""avoid Aer Lingus at all costs""","Just a general warning to avoid Aer Lingus at all costs. Their planes are very old, felt like I was in a 70’s film. That didn’t bother me at all but just thought I’d note that. The main problem was the constant delays. Sure there was a issue with ice when the plane was en route to Chicago so it got delayed which is understandable. However this delay was not made known to anyone on the flight and after the gate changing 3 times and 4 hours after the plane was supposed to take off did the counter staff arrive and make an announcement of the delay which would cause my partner and I to miss our connection on Aer Lingus as well to Portugal. I called customer service 4 times, waited on hold for a total of 3 hrs only to be hung up on all 4 times and told to call Alaska who we booked through, though each time Alaska told us Aer Lingus has to make the changes and Aer Lingus refused to make the changes when Alaska told us Aer Lingus had to do it. Ended up having to make the change in Dublin airport. Overall awful experience.",Couple Leisure,Economy Class,12/1/2022,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Chicago,Dublin,TRUE,Ireland,FALSE,International
Aer Lingus,1,"""telling me I would be fully reimbursed""","Atrocious. +6 hour delays. Left stranded in the connecting airport due to the delay, causing us to miss our connecting flight. No customer assistance in getting to our final destination. Had to book my own alternate flight on my own dime. Awful customer service. Still haven't gotten my money back 2 months after the flight, despite all the airline people telling me I would be fully reimbursed while I was stranded. The planes are old with broken infotainment systems.",Solo Leisure,Economy Class,9/1/2022,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Chicago,Venice,TRUE,Italy,FALSE,International
Aer Lingus,1,"""Absolutely disgusting airline""","Absolutely disgusting airline. If I ever had to use them again I would sooner not go on holiday. Food not good. Lack of snacks, only soft drinks included, no wine List goes on. That’s before I start on the delays.",Family Leisure,Economy Class,11/1/2022,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Orlando,Manchester,TRUE,United Kingdom,FALSE,International
Aer Lingus,1,"""nothing like the old Aer Lingus I loved flying""","I booked and purchased tickets for an Aer Lingus trip in October 2021. BOS-SNN-LHR June 15 22 Returning from Paris CDG-DUB-BOS on June 28 22. The outward flights were uneventful. usual 30min delay in Boston, poor quality food in coach. I liked the new A321NEO to Shannon much more comfortable than the old 757. However the return was hell. We arrived at the counter at CDG to total chaos after waiting in line for an hour we got to to an agent a contractor (Swissport?) she told us we didn't have a reservation so I gave her our number she then said the BOS flight is cancelled. But I pointed out that the previous customer is on the same flight and they got passes for both flights. She then said our reservations were cancelled by Aer Lingus and we would have to make our own arrangements to get home. I asked for the duty Manager who told me the same thing and suggested I call customer service. I made her call customer service and she got us on a BA to LHR and AA to BOS the next day. But No hotel or meals. I had to find a hotel on my own using a tablet on airport wifi. When we got back I submitted a claim for EU261 Compensation with Aer Lingus on July 1 Ref #8333779. I got an Ack for this the next day and have heard nothing since although I have inquired of status several times by Email. eventually I got thru to someone who said they are still working on the issue and to expect to hear soon - this was on Sept 30-still waiting. I have a Vacation home in Kirush Clare Ireland So i guess I will be using Delta or Icelandair in future. In conclusion you have to be crazy to fly this airline. They are definitely nothing like the old Aer Lingus I loved flying.",Family Leisure,Economy Class,6/1/2022,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Boston,London,TRUE,United Kingdom,FALSE,International
Aer Lingus,1,"""avoid at any cost""",Worst Airline I have ever traveled with. I travel extensively internationally and have seen it all. They left 45 minutes late due to baggage loading issues (no other explanation provided). Our connecting flight from Dublin to Edinburgh was delayed by 1 hour no explanation provided. Our bags never arrived - they somehow were sent to London! The luggage counter in Edinburgh is not manned - it’s subcontracted out to another company who makes you fill out a form but no one seems to know what next! Finally figured out a web based link for reporting missing bags etc. when we landed in Dublin from an overnight flight from Philadelphia no breakfast/tea or coffee was served! I won’t travel Aer Fungus even if were free. No respect/accommodation for passengers - avoid at any cost.,Couple Leisure,Economy Class,10/1/2022,Very Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Philadelphia,Edinburgh,TRUE,United Kingdom,FALSE,International
Aer Lingus,1,"""I have not received any refund""","I had to cancel my tickets and I have not received any refund, though I was promised an 85% refund. I have to wait two or three hours on hold for their customer service staff. After the long wait, I receive no real information about the status of my refund. I was told that it will take two weeks to receive the refund. Another time I was told that it will four to six weeks. It have been 9 weeks since I cancelled my tickets. The last time I contacted Aer Lingus customer service, I was promised that the ""refund team"" would contact me via email within 24 hours. That did not happen. I have requested the refund using the Aer Lingus web site also. No one has acknowledged that my request has been received.",Business,Business Class,7/1/2022,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Seattle,Dublin,TRUE,Ireland,FALSE,International
Aer Lingus,1,"""terrible customer service""",Delayed bags and terrible customer service.  First and last time I will ever fly Aer Lingus. Medication‘s in the bag they’ve supposedly been out for delivery for two days but nobody can give me any real information because the folks are in call centers in Asia. I’m solo traveling I don’t have my medication I’m supposed to check out today and take a train to another country so now I don’t know whether to spend my own money to stay wait for my bag of course getting refunds for any of this is probably going to be impossible. Do yourself a favor learn from my mistake and spend more for a better airline,Solo Leisure,Economy Class,9/1/2022,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Chicago,Amsterdam,TRUE,Netherlands,FALSE,International
Aer Lingus,1,"""Aer Lingus refuses to provide the voucher""","Because of the current horrible airline situation world wide, we cancelled our flight to Ireland, England and Scotland. We didn't want to get stuck because of cancelled flights. I called a month prior to our flight to cancel. I was told I would get a voucher for the value of the tickets good for five years. I understood a refund couldn't be offered because I didn't purchase a refundable ticket. The voucher was fine. The agent checked the timing of the cancellation and said it was well within the period necessary to receive a voucher. I was also told that I would be after my flight was originally schedule before someone could get back to me since they were very busy. I received the following email confirming the refund. Dear Mrs. Ruppert, Our sincere apologies for the delayed response. Your voucher request was approved; however, we do not currently have the ability to redeem vouchers for travel on other airlines, and your original ticket included travel on A A Airlines. As a courtesy, until this is remedied, we will offer a refund. Kindly reply to this email to confirm if you would like to proceed with the refund, thank you. Kind regards, Customer Service Agent. Now Aer Lingus refuses to provide the voucher they promised in the confirmation email. My next vacation will not be to Ireland.",Couple Leisure,Economy Class,7/1/2022,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Philadelphia,Dublin,TRUE,Ireland,FALSE,International
Aer Lingus,4,"""Seats are too close together""","Food is bad, service is no more than they have to do, not very friendly. Seats are too close together, half of the screens don't work. I think it is time to update your aircraft.",Family Leisure,Economy Class,9/1/2022,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Chicago,Dublin,TRUE,Ireland,FALSE,International
Aer Lingus,1,"""I was denied the full refund""","Scheduled to fly to Rome on September 13, 2022, with my wife in business class. unfortunately, on September 8, 2022, I was diagnosed with COVID. I notified the airline and was told I could either obtain a voucher or get a credit refund. I opted for a credit refund. however, even after submitting a claim with my covid results, I was denied the full refund of $8300. Their reason of course was that i did not cancel prior to the 14 days requirement. Obviously if I knew I would come down with COVID I would have cancelled with the 14day requirement being met. However, I could not have known I would contract covid less than 1 week before the flight. I find the very quick response denying my full refund to be an absolute bureaucratical decision, without any thought process being given to the extreme circumstances. I returned their email asking the person, if they would prefer that I travelled on their aircraft knowing that i had covid. to date I have not had a response. Terrible customer service skills and a terrible decision. They will now refund the $8300 minus 15% admin fees. Guess who will never use Aer Lingus again.",Couple Leisure,Business Class,9/1/2022,Neutral,Neutral,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Orlando,Rome,TRUE,Italy,FALSE,International
Aer Lingus,1,"""It was a nightmare""","San Francisco to Paris via Dublin. Do NOT use this airline. It was our first time using them and it will definitely be our last. Both flights to our destination were late, putting us behind by about 2 hours on our arrival to Paris. A little annoying, but fine. However, the trip home was absolutely wretched lol and I cannot emphasize this enough. To start, when we arrived to check in (2 hours before boarding) there was already an announcement stating the flight was delayed by 1 hr. Once boarded we sat for an additional HOUR on the tarmac, causing us to miss our connecting flight home (amazingly the only flight of theirs that left only 15 minutes late). They re-routed us to Seattle, which meant an addition 2.5 hour layover before boarding the connecting flight. There was no offer of food or beverages even though we were missing our in-flight meal service. Once we boarded the connecting flight we AGAIN sat for 1 hour and 45 minutes in the tarmac. No offer of snacks or food. Mind you we are about 4 hours past when we should of had out meal service so we were starving. Thank god our last flight from Seattle to San Fran was with Alaska Airlines as they were great. So to sum things up, we were originally to be home at 3:30 pm on 9/2 but we didn’t arrive until 9/3 at 12 am and of course our baggage was still in Dublin, adding an additional 30 minutes in the airport to submit a claim for the lost bags. It was a nightmare and I will never ever use them again.",Couple Leisure,Economy Class,9/1/2022,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,San Francisco,Paris,TRUE,France,FALSE,International
Aer Lingus,1,"""charged me 100 dollars for a carry on""","When we checked in at Chicago they charged me 100 dollars for a carry on they claim was too big. My daughter had the same carry on, but a solid green. On the return flight out luggage made it to Dublin, but hers did not make it onto the flight to Chicago. It has been over 72 hours and they are still unable to locate her luggage. Aer Lingus has not been helpful in trying to locate her luggage.",Family Leisure,Economy Class,8/1/2022,Dissatisfied,Neutral,Neutral,Very Dissatisfied,Neutral,Very Dissatisfied,Chicago,Hamburg,TRUE,Germany,FALSE,International
Aer Lingus,2,"""I will never get on this airline again""","Aer Lingus is a partner airline of Alaska Air. I am a million mile frequent flier of Alaska Air and have family in Manchester, UK. This means Seattle and Manchester is a frequent route for me and my family. I agree with other reviews that there are frequent delays - this month 3 hours from starting airport with no explanation or acknowledgement that it has even happened. As we were landing in Dublin we were told that there would be staff to meet us to sort out what to do since we were too late for connections - the last 3 trips this has not been true. There were 14 of us for one connection 2 weeks ago- no one to help, no one to book onto next flight and we were told the connecting flight waited for the first class connecting passengers and then left. The Aer Lingus staff are stone faced and unhelpful when we asked for another flight to get to our destination. We had to collect our bags go all the way out to check in and line up to speak to the single agent for all the Aer Lingus passengers with issues. Again not one acknowledgement of a problem the caused. Most of the passengers had to overnight in Dublin. After 3 return trips I will never get on this airline again nor would I let a family member go through it because it takes travel experience to know what to do to repair the trip.",Couple Leisure,Economy Class,8/1/2022,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Seattle,Manchester,TRUE,United Kingdom,FALSE,International
